word,classification,reason,confidence,frequency,length,is_hindi
अगल,correct_spelling,medium_frequency,0.6,6,3,True
अगलबगल,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अगला,correct_spelling,high_frequency,0.7,42,4,True
"अगला,",incorrect_spelling,hapax_legomenon,0.6,1,5,True
अगली,correct_spelling,medium_frequency,0.6,9,4,True
अगले,correct_spelling,high_frequency,0.7,15,4,True
अगेन,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अग्रज,correct_spelling,low_frequency,0.5,2,5,True
अग्रसर,correct_spelling,low_frequency,0.5,2,6,True
अचानक,correct_spelling,medium_frequency,0.6,5,5,True
अचार्य,correct_spelling,low_frequency,0.5,2,6,True
अचीव,correct_spelling,low_frequency,0.5,3,4,True
अच्छ,correct_spelling,in_dictionary,1.0,5,4,True
अच्छा,correct_spelling,in_dictionary,1.0,563,5,True
"अच्छा,",correct_spelling,high_frequency,0.7,17,6,True
"अच्छा,अच्छा",correct_spelling,low_frequency,0.5,2,11,True
अच्छाअच्छा,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अच्छाह्म्म,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अच्छा।,correct_spelling,medium_frequency,0.6,5,6,True
अच्छी,correct_spelling,in_dictionary,1.0,81,5,True
अच्छे,correct_spelling,high_frequency,0.7,101,5,True
अच्छेअच्छे,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अज,incorrect_spelling,hapax_legomenon,0.6,1,2,True
अजन्म।,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अजानक,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अजीत,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अजीब,correct_spelling,high_frequency,0.7,14,4,True
अटक,correct_spelling,low_frequency,0.5,4,3,True
अटेंड,incorrect_spelling,invalid_character_combination,0.9,5,5,True
अटेंडेंनेस,incorrect_spelling,invalid_character_combination,0.9,1,10,True
अटेंडेंस,incorrect_spelling,invalid_character_combination,0.9,2,8,True
अटैंड,incorrect_spelling,invalid_character_combination,0.9,1,5,True
अटैच,correct_spelling,low_frequency,0.5,4,4,True
अट्ठाइस,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अट्रैक्ट,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अट्रैक्टिव,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अठारह,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अड्डा,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अथि,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अदर,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अदरवाइज,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अदरवाइस,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अद्भुत,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अधिक,correct_spelling,medium_frequency,0.6,8,4,True
अधिकतम,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अधिकतर,correct_spelling,medium_frequency,0.6,5,6,True
अधिकार,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अन,incorrect_spelling,hapax_legomenon,0.6,1,2,True
अनएक्सपेक्टेड,correct_spelling,low_frequency,0.5,2,13,True
अनकंफर्टेबल,incorrect_spelling,hapax_legomenon,0.6,1,11,True
अनजान,correct_spelling,medium_frequency,0.6,6,5,True
अनपुर्णा,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अनपेड,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अनप्रेडिक्टेबल,incorrect_spelling,hapax_legomenon,0.6,1,14,True
अनमैरिज,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अनमैरिज्ड,incorrect_spelling,hapax_legomenon,0.6,1,9,True
अनमैरिड,incorrect_spelling,hapax_legomenon,0.6,1,7,True
"अनमैरिड,",incorrect_spelling,hapax_legomenon,0.6,1,8,True
अनहेल्दी,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अनाज,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अनिवार्य,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अनुकुल,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अनुकूल,correct_spelling,low_frequency,0.5,2,6,True
अनुपम,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अनुभव,correct_spelling,high_frequency,0.7,81,5,True
अनुभवों,incorrect_spelling,invalid_character_combination,0.9,2,7,True
अनुशासन,correct_spelling,low_frequency,0.5,4,7,True
अनुसरण,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अनुसार,correct_spelling,medium_frequency,0.6,9,6,True
अनूठा,correct_spelling,low_frequency,0.5,2,5,True
अनोखा,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अनोखे,correct_spelling,low_frequency,0.5,3,5,True
अन्दर,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अन्मैरिड,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अन्य,correct_spelling,low_frequency,0.5,3,4,True
अप,correct_spelling,medium_frequency,0.6,8,2,True
अपडेट,correct_spelling,low_frequency,0.5,4,5,True
अपन,correct_spelling,high_frequency,0.7,79,3,True
अपना,correct_spelling,in_dictionary,1.0,180,4,True
"अपना,",incorrect_spelling,hapax_legomenon,0.6,1,5,True
अपनाई,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अपनाना,correct_spelling,low_frequency,0.5,3,6,True
अपनाने,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अपनापन,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अपनाया,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अपनी,correct_spelling,high_frequency,0.7,107,4,True
अपनी।,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अपने,correct_spelling,in_dictionary,1.0,308,4,True
"अपने,",correct_spelling,low_frequency,0.5,2,5,True
अपनेअपने,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अपने।,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अपनो,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अपरोक्स,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अपसेट,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अपुन,correct_spelling,low_frequency,0.5,2,4,True
अपुनाना,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अपोजिट,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अप्रत्यक्ष,correct_spelling,low_frequency,0.5,2,10,True
अप्रत्याकशित,incorrect_spelling,hapax_legomenon,0.6,1,12,True
अप्रत्याक्षित,incorrect_spelling,hapax_legomenon,0.6,1,13,True
अप्रत्याशित,incorrect_spelling,hapax_legomenon,0.6,1,11,True
अप्रॉक्स,correct_spelling,low_frequency,0.5,2,8,True
अप्लाई,correct_spelling,low_frequency,0.5,3,6,True
अप्स,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अफसर,correct_spelling,low_frequency,0.5,2,4,True
अफसरवादी,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अफसोस,correct_spelling,high_frequency,0.7,10,5,True
अफ़सरवादित,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अफ़सोस,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अफेयर्स,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अफॉर्डेबल,incorrect_spelling,hapax_legomenon,0.6,1,9,True
अफोर्ड,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अब,correct_spelling,in_dictionary,1.0,258,2,True
अबतक।,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अबल,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अबी,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अब्दुल,correct_spelling,low_frequency,0.5,4,6,True
अब्दूल,correct_spelling,low_frequency,0.5,4,6,True
अब्सोल्युटली,incorrect_spelling,hapax_legomenon,0.6,1,12,True
अब।,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अभाव,correct_spelling,low_frequency,0.5,2,4,True
अभी,correct_spelling,in_dictionary,1.0,238,3,True
"अभी,",correct_spelling,low_frequency,0.5,2,4,True
अभीआ,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अभ्यास,correct_spelling,low_frequency,0.5,2,6,True
अम,correct_spelling,low_frequency,0.5,4,2,True
अमर,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अमरीकन,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अमांट,incorrect_spelling,invalid_character_combination,0.9,1,5,True
अमाउंट,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अमीर,correct_spelling,low_frequency,0.5,4,4,True
अमृतसर,correct_spelling,low_frequency,0.5,2,6,True
अमेजन,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अमेरिका,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अमेरिकाज़,incorrect_spelling,hapax_legomenon,0.6,1,9,True
अम्म,correct_spelling,medium_frequency,0.6,7,4,True
"अम्म,हम्ममम",incorrect_spelling,suspicious_repetition,0.7,1,11,True
अरदसक,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अरमान,correct_spelling,low_frequency,0.5,3,5,True
अराम,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अरिजीत,correct_spelling,medium_frequency,0.6,8,6,True
अरे,correct_spelling,in_dictionary,1.0,38,3,True
अर्जीत,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अर्थ,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अर्थव्यवस्था,correct_spelling,low_frequency,0.5,3,12,True
अलकमिस्ट।,incorrect_spelling,hapax_legomenon,0.6,1,9,True
अलकेमिस्ट,incorrect_spelling,hapax_legomenon,0.6,1,9,True
अलग,correct_spelling,high_frequency,0.7,92,3,True
अलगअलग,correct_spelling,high_frequency,0.7,21,6,True
अलमारियों,incorrect_spelling,invalid_character_combination,0.9,1,9,True
अलवल,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अलविदा,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अलाउ,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अलाउड,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अलावा,correct_spelling,high_frequency,0.7,31,5,True
अलॉय,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अव,incorrect_spelling,hapax_legomenon,0.6,1,2,True
अवश्य,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अवसर,correct_spelling,low_frequency,0.5,4,4,True
अवसरो,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अवसाद,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अवाज,correct_spelling,low_frequency,0.5,3,4,True
अवार्यमेंट,incorrect_spelling,invalid_character_combination,0.9,1,10,True
अविश्वसनीय,incorrect_spelling,hapax_legomenon,0.6,1,10,True
अवेयर,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अवेलिबल,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अवेलेबल,correct_spelling,medium_frequency,0.6,6,7,True
अवेलेवल,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अवॉइड,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अश्रमान,incorrect_spelling,hapax_legomenon,0.6,1,7,True
असंपर्क,incorrect_spelling,hapax_legomenon,0.6,1,7,True
असफल,correct_spelling,high_frequency,0.7,10,4,True
असफलता,correct_spelling,low_frequency,0.5,3,6,True
असफलताएं,incorrect_spelling,hapax_legomenon,0.6,1,8,True
असम,incorrect_spelling,hapax_legomenon,0.6,1,3,True
असमान,incorrect_spelling,hapax_legomenon,0.6,1,5,True
असर,incorrect_spelling,hapax_legomenon,0.6,1,3,True
असरदार,correct_spelling,low_frequency,0.5,2,6,True
असल,correct_spelling,medium_frequency,0.6,6,3,True
असली,incorrect_spelling,hapax_legomenon,0.6,1,4,True
असिस्टेंट,incorrect_spelling,invalid_character_combination,0.9,1,9,True
असेंबली,incorrect_spelling,invalid_character_combination,0.9,2,7,True
असेसेरी,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अस्त,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अस्तित्व,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अस्पताल,correct_spelling,low_frequency,0.5,2,7,True
अस्सी,correct_spelling,medium_frequency,0.6,5,5,True
अह,correct_spelling,high_frequency,0.7,72,2,True
अहं,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अहम,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अहसास,correct_spelling,low_frequency,0.5,4,5,True
अहह,correct_spelling,medium_frequency,0.6,8,3,True
अहा,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अहिल्या,incorrect_spelling,hapax_legomenon,0.6,1,7,True
अह्ह्,incorrect_spelling,invalid_character_combination,0.9,1,5,True
अह्ह्ह,correct_spelling,low_frequency,0.5,2,6,True
अ्,incorrect_spelling,invalid_character_combination,0.9,1,2,True
अ।,correct_spelling,low_frequency,0.5,2,2,True
आ,correct_spelling,single_character,0.6,379,1,True
आ.,english_transliteration,non_devanagari,0.7,3,2,False
आँ,incorrect_spelling,hapax_legomenon,0.6,1,2,True
आँख,correct_spelling,in_dictionary,1.0,2,3,True
आँखे,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आँठ,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आं,correct_spelling,low_frequency,0.5,3,2,True
आंख,correct_spelling,low_frequency,0.5,2,3,True
आंखों,incorrect_spelling,invalid_character_combination,0.9,1,5,True
आंच,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आंतरिक,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आंशु,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आंह,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आअअ,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आइ_टी,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आइज,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आइटम,correct_spelling,low_frequency,0.5,2,4,True
आइटम्स,incorrect_spelling,hapax_legomenon,0.6,1,6,True
"आइटम्स,",incorrect_spelling,hapax_legomenon,0.6,1,7,True
आइडल,correct_spelling,low_frequency,0.5,4,4,True
आइडिया,correct_spelling,medium_frequency,0.6,9,6,True
आइसक्रीम,incorrect_spelling,hapax_legomenon,0.6,1,8,True
आई,correct_spelling,in_dictionary,1.0,54,2,True
आई.,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आई.क्यू.लेवल,incorrect_spelling,hapax_legomenon,0.6,1,12,True
आई_के_जी_ए,incorrect_spelling,hapax_legomenon,0.6,1,10,True
आई_टी,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आईं,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आईक्यू,correct_spelling,low_frequency,0.5,2,6,True
आईज,correct_spelling,low_frequency,0.5,3,3,True
आईजी,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आईडल,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आईडियाज,incorrect_spelling,hapax_legomenon,0.6,1,7,True
आईडी,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आईडीएस,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आईने,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आईपीएल,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आईफ़ोन,correct_spelling,low_frequency,0.5,2,6,True
आईफोन,correct_spelling,high_frequency,0.7,13,5,True
आउँगी,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आउंगी,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आउट,correct_spelling,medium_frequency,0.6,6,3,True
आउटडेटिंग,incorrect_spelling,invalid_character_combination,0.9,1,9,True
आउटडोर,correct_spelling,low_frequency,0.5,2,6,True
आउटफिट,correct_spelling,medium_frequency,0.6,6,6,True
आउटफिटस,incorrect_spelling,hapax_legomenon,0.6,1,7,True
आउटफिट्स,correct_spelling,low_frequency,0.5,2,8,True
आउटर,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आए,correct_spelling,in_dictionary,1.0,50,2,True
"आए,",correct_spelling,low_frequency,0.5,3,3,True
आएं,correct_spelling,low_frequency,0.5,3,3,True
आएंगी,correct_spelling,low_frequency,0.5,2,5,True
आएंगे,correct_spelling,in_dictionary,1.0,2,5,True
आएंगे।,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आएगा,correct_spelling,in_dictionary,1.0,20,4,True
"आएगा,",incorrect_spelling,hapax_legomenon,0.6,1,5,True
आएगा।,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आएगी,correct_spelling,low_frequency,0.5,3,4,True
"आएगी,",incorrect_spelling,hapax_legomenon,0.6,1,5,True
आएस,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आए।,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आओ,correct_spelling,medium_frequency,0.6,5,2,True
आओगे,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आओ।,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आकड़ा,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आकर्षण,correct_spelling,low_frequency,0.5,2,6,True
आकर्षित,incorrect_spelling,hapax_legomenon,0.6,1,7,True
आकृतियों,incorrect_spelling,invalid_character_combination,0.9,1,8,True
आके,correct_spelling,high_frequency,0.7,10,3,True
आक्शन,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आखरी,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आखिकार,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आखिर,correct_spelling,low_frequency,0.5,2,4,True
आखिरी,correct_spelling,medium_frequency,0.6,5,5,True
आखों,incorrect_spelling,invalid_character_combination,0.9,3,4,True
आग,correct_spelling,low_frequency,0.5,4,2,True
आगया,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आगरा,correct_spelling,low_frequency,0.5,2,4,True
आगी,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आगे,correct_spelling,high_frequency,0.7,78,3,True
आचरण,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आचार्य,correct_spelling,low_frequency,0.5,4,6,True
आच्छा,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आज,correct_spelling,in_dictionary,1.0,134,2,True
आजकल,correct_spelling,high_frequency,0.7,62,4,True
आजतक,correct_spelling,low_frequency,0.5,3,4,True
आजमाने,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आजीवन,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आजु,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आजू,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आटा,correct_spelling,medium_frequency,0.6,9,3,True
आठ,correct_spelling,in_dictionary,1.0,12,2,True
आत,incorrect_spelling,hapax_legomenon,0.6,1,2,True
आतंकी,correct_spelling,low_frequency,0.5,2,5,True
आता,correct_spelling,in_dictionary,1.0,125,3,True
आती,correct_spelling,in_dictionary,1.0,73,3,True
आतीं,incorrect_spelling,invalid_character_combination,0.9,1,4,True
आते,correct_spelling,in_dictionary,1.0,74,3,True
आते.,incorrect_spelling,hapax_legomenon,0.6,1,4,True
आत्म,correct_spelling,low_frequency,0.5,2,4,True
आत्मग्लानि,incorrect_spelling,hapax_legomenon,0.6,1,10,True
आत्मचिंतन,incorrect_spelling,invalid_character_combination,0.9,1,9,True
आत्मविश्वास,correct_spelling,low_frequency,0.5,2,11,True
आत्मसहायता,incorrect_spelling,hapax_legomenon,0.6,1,10,True
आत्मसाहिता,incorrect_spelling,hapax_legomenon,0.6,1,10,True
आत्महत्या,correct_spelling,medium_frequency,0.6,6,9,True
आत्मा,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आत्मिक,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आद,correct_spelling,low_frequency,0.5,2,2,True
आदत,correct_spelling,medium_frequency,0.6,7,3,True
आदमी,correct_spelling,in_dictionary,1.0,43,4,True
आदर,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आदर्श,correct_spelling,high_frequency,0.7,10,5,True
आदि,correct_spelling,in_dictionary,1.0,3,3,True
आदिमानव,correct_spelling,low_frequency,0.5,3,7,True
आदी,correct_spelling,low_frequency,0.5,2,3,True
आधा,correct_spelling,medium_frequency,0.6,5,3,True
आधार,correct_spelling,low_frequency,0.5,2,4,True
आधारित,correct_spelling,low_frequency,0.5,3,6,True
आधी,correct_spelling,low_frequency,0.5,3,3,True
आधुनिक,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आधे,correct_spelling,low_frequency,0.5,4,3,True
आध्यात्म,incorrect_spelling,hapax_legomenon,0.6,1,8,True
आन,incorrect_spelling,hapax_legomenon,0.6,1,2,True
आनंद,correct_spelling,low_frequency,0.5,4,4,True
आनंदमई,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आनन्द,incorrect_spelling,hapax_legomenon,0.6,1,5,True
आना,correct_spelling,in_dictionary,1.0,25,3,True
आनुमिक,incorrect_spelling,hapax_legomenon,0.6,1,6,True
आने,correct_spelling,high_frequency,0.7,34,3,True
आन्ट्रैक्ट,incorrect_spelling,hapax_legomenon,0.6,1,10,True
आप,correct_spelling,in_dictionary,1.0,820,2,True
"आप,",incorrect_spelling,hapax_legomenon,0.6,1,3,True
"आप,बरसात",incorrect_spelling,hapax_legomenon,0.6,1,8,True
आप.,incorrect_spelling,hapax_legomenon,0.6,1,3,True
आपक,incorrect_spelling,hapax_legomenon,0.6,1,3,True
